name,city_clean,city_tier,location,cusine,rating,votes,cost_for_two,price_tier,has_online_order,has_table_booking,delivery_only,anom_iqr_cost,anom_zscore_cost,anom_isoforest,operational_risk
IFC Restaurant,Kolkata,Tier 1,Bangur,"Pizza, Burger, Fast Food",2.6,67,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Smokeat,Kolkata,Tier 1,"Sector 1, Salt Lake","Fast Food, Continental, Italian, Chinese, Cafe",2.3,92,800.0,Premium (700-1500),False,False,False,False,False,True,True
Dash of This Dash of That,Kolkata,Tier 1,"Sector 1, Salt Lake","Chinese, North Indian",2.5,72,1100.0,Premium (700-1500),False,False,False,True,False,True,True
Swaagatam Restaurant,Mumbai,Tier 1,Parel,"North Indian, South Indian, Chinese, Fast Food",2.9,17,850.0,Premium (700-1500),True,False,False,False,False,False,True
Tulip Inn Bar Cum Restaurant,Kolkata,Tier 1,Kona Exp Way,"Chinese, North Indian",2.7,57,850.0,Premium (700-1500),False,False,False,False,False,False,True
REBAZ,Mumbai,Tier 1,Dombivali East,"North Indian, Mughlai, Chinese, Biryani",2.9,43,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Punjab D Tadka,Delhi NCR,Tier 1,Indirapuram,"North Indian, Chinese",2.7,16,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Calcutta Cafe,Kolkata,Tier 1,Bow Bazar,"Chinese, North Indian",2.8,15,800.0,Premium (700-1500),False,False,False,False,False,False,True
Sen's Sational Xpress Kitchen,Delhi NCR,Tier 1,"Sector 39, Noida","North Indian, Mughlai",2.9,19,600.0,Mid-range (300-700),False,False,False,False,False,False,True
North Star Restaurant & Bar,Kolkata,Tier 1,Dum Dum,"North Indian, Chinese",2.9,59,750.0,Premium (700-1500),False,False,False,False,False,False,True
Sonar Sansar,Kolkata,Tier 1,Ajoy Nagar,"North Indian, Chinese",2.8,30,700.0,Premium (700-1500),False,False,False,False,False,False,True
Apple Pie - Hotel Haut.Monde,Delhi NCR,Tier 1,"Sector 15, Gurgaon","North Indian, Chinese, Continental",2.6,28,1300.0,Premium (700-1500),False,False,False,True,False,True,True
Neelam E Punjab,Mumbai,Tier 1,Vasai,"North Indian, Chinese, Seafood",2.8,78,750.0,Premium (700-1500),True,False,False,False,False,False,True
Biryani By Tunday Kebabi,Delhi NCR,Tier 1,Malviya Nagar,"Kebab, Biryani, North Indian",2.9,14,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Szafran,Kolkata,Tier 1,Kalikapur,"North Indian, Continental, Bengali, South Indian, Chinese, Fast Food",2.5,100,750.0,Premium (700-1500),False,False,False,False,False,True,True
Golden Inn,Kolkata,Tier 1,Baguihati,"Chinese, North Indian",2.7,29,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Republic's @ Dhaba,Delhi NCR,Tier 1,"Sector 62, Noida","North Indian, South Indian, Chinese",2.6,77,900.0,Premium (700-1500),False,False,False,False,False,True,True
K Bar & Restaurant,Delhi NCR,Tier 1,Paharganj,"North Indian, Chinese, Continental",2.7,14,900.0,Premium (700-1500),False,False,False,False,False,False,True
Virmani Ki Hyderabadi Biryani,Delhi NCR,Tier 1,DLF Phase 4,"Biryani, North Indian, Chinese",2.7,13,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Devdas Bar & Restaurant,Kolkata,Tier 1,Ruby Hospital Area,"North Indian, Chinese, Finger Food",2.8,15,1500.0,Luxury (1500+),False,False,False,True,False,True,True
Copper Restaurant,Delhi NCR,Tier 1,Paharganj,"North Indian, Chinese, Fast Food",2.8,8,900.0,Premium (700-1500),False,False,False,False,False,False,True
Nomadz,Delhi NCR,Tier 1,Indirapuram,Continental,2.9,34,600.0,Mid-range (300-700),False,False,True,False,False,False,True
Walkin,Kolkata,Tier 1,Park Circus Area,"Cafe, Chinese, North Indian",2.9,4,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Gabbar Singh Ka Dhaba,Delhi NCR,Tier 1,"Sector 53, Noida",North Indian,2.9,5,650.0,Mid-range (300-700),False,False,False,False,False,False,True
Neesarg Family Restaurant & Bar,Mumbai,Tier 1,"Upvan, Thane West","North Indian, Mughlai, Chinese",2.8,24,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Lotus House Restaurant,Delhi NCR,Tier 1,Majnu ka Tila,"Tibetan, Chinese",2.9,4,600.0,Mid-range (300-700),False,False,False,False,False,False,True
BunSliced,Delhi NCR,Tier 1,"Sector 50, Noida",Burger,2.8,13,700.0,Premium (700-1500),False,False,False,False,False,False,True
Qabuliwala,Delhi NCR,Tier 1,Aerocity,"Lebanese, Kebab",2.9,4,700.0,Premium (700-1500),False,False,False,False,False,False,True
Darya,Delhi NCR,Tier 1,DLF Phase 3,"Mexican, Fast Food",2.5,73,650.0,Mid-range (300-700),False,False,False,False,False,True,True
Deseez Bistro,Delhi NCR,Tier 1,Sohna Road,"Biryani, Mughlai, Rolls",2.9,7,700.0,Premium (700-1500),True,False,False,False,False,False,True
Indian Diners,Delhi NCR,Tier 1,"Sector 37, Noida","North Indian, Chinese, Continental",2.9,9,1300.0,Premium (700-1500),False,False,False,True,False,True,True
Seven Seas,Mumbai,Tier 1,Cuffe Parade,"Chinese, North Indian, Mughlai",2.9,15,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Sargam Restaurant,Delhi NCR,Tier 1,Nehru Nagar,"North Indian, Chinese",2.9,26,800.0,Premium (700-1500),False,False,False,False,False,False,True
Chakra,Mumbai,Tier 1,Goregaon East,"North Indian, Chinese, Seafood, Fast Food",2.6,20,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Tipsy Goat,Delhi NCR,Tier 1,"Sector 56, Gurgaon","North Indian, Mughlai",2.8,5,2000.0,Luxury (1500+),False,False,False,True,True,True,True
Town Restaurant,Kolkata,Tier 1,New Town,"North Indian, Biryani, Bengali",2.8,27,900.0,Premium (700-1500),True,False,False,False,False,False,True
The Korner Cafe,Kolkata,Tier 1,Dhakuria,Fast Food,2.7,38,600.0,Mid-range (300-700),True,False,False,False,False,False,True
UK Chicken,Delhi NCR,Tier 1,Rajouri Garden,North Indian,2.3,48,800.0,Premium (700-1500),False,False,False,False,False,True,True
Kamat's Pure Vegetarian,Mumbai,Tier 1,Prabhadevi,"North Indian, Chinese, Street Food",2.8,201,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Salute,Mumbai,Tier 1,Borivali West,"Chinese, North Indian, Mughlai, Asian",2.4,234,1000.0,Premium (700-1500),False,False,False,True,False,True,True
My Kind Of Play,Delhi NCR,Tier 1,Punjabi Bagh,"Fast Food, Chinese",2.9,4,800.0,Premium (700-1500),False,False,False,False,False,False,True
Mishthan Sweets And Restaurant,Delhi NCR,Tier 1,Gaur City 1,"North Indian, Chinese, South Indian, Fast Food",2.9,5,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Tanishk Gourmet Indian,Delhi NCR,Tier 1,Ardee City,"North Indian, Mughlai, Seafood",2.8,11,800.0,Premium (700-1500),False,False,False,False,False,False,True
Pizzaslicious,Delhi NCR,Tier 1,"Sector 50, Noida",Pizza,2.4,41,600.0,Mid-range (300-700),False,False,True,False,False,True,True
Al-Mueem Chicken Corner,Delhi NCR,Tier 1,Uttam Nagar,"Hyderabadi, North Indian",2.9,6,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Hot Chimney,Delhi NCR,Tier 1,Lodhi Colony,"North Indian, Chinese, Mughlai",2.5,105,850.0,Premium (700-1500),False,False,False,False,False,True,True
@Mi Kolkata,Kolkata,Tier 1,Kasba,"North Indian, Seafood, Chinese",2.9,40,700.0,Premium (700-1500),True,True,False,False,False,False,True
Turn Up,Delhi NCR,Tier 1,Satyaniketan,"Cafe, Fast Food, Chinese",2.2,49,800.0,Premium (700-1500),True,False,False,False,False,True,True
The Square Meal,Delhi NCR,Tier 1,Manesar,"North Indian, Chinese",2.9,4,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Spice Of Joy,Kolkata,Tier 1,Kalikapur,"Chinese, North Indian, Mughlai",2.7,115,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Miglani Eating House,Delhi NCR,Tier 1,Mukherjee Nagar,"North Indian, Mughlai, Chinese",2.8,233,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Del 41,Delhi NCR,Tier 1,Nangloi,"Chinese, North Indian",2.8,14,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Janata Hotel and Restaurant,Kolkata,Tier 1,Dum Dum,"Chinese, North Indian",2.9,22,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Tunday Kababi,Delhi NCR,Tier 1,"Sector 72, Noida","Mughlai, North Indian",2.5,142,600.0,Mid-range (300-700),True,False,False,False,False,True,True
The Big Boss Cafe,Kolkata,Tier 1,Bhawanipur,"Cafe, North Indian",2.8,27,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Suswagatam Bar & Restaurant,Kolkata,Tier 1,Ballygunge,"North Indian, Chinese, Continental",2.7,33,1000.0,Premium (700-1500),False,False,False,True,False,True,True
Talli Bar & Restaurant,Delhi NCR,Tier 1,Vasundhara Enclave,"North Indian, Mughlai, Chinese",2.9,34,650.0,Mid-range (300-700),True,False,False,False,False,False,True
Hot Tandoor,Delhi NCR,Tier 1,"Sector 19, Dwarka",North Indian,2.9,13,700.0,Premium (700-1500),True,False,False,False,False,False,True
Gola Sizzler,Delhi NCR,Tier 1,Tagore Garden,"North Indian, Fast Food",2.8,10,1600.0,Luxury (1500+),False,False,False,True,True,True,True
Paris Bar & Restaurant,Kolkata,Tier 1,New Market Area,North Indian,2.6,17,1200.0,Premium (700-1500),False,False,False,True,False,True,True
Keya,Delhi NCR,Tier 1,Vasant Kunj,"Finger Food, Asian, Italian",2.6,961,2500.0,Luxury (1500+),False,False,False,True,True,True,True
Cafe Ekante Open Air,Kolkata,Tier 1,New Town,Bengali,2.6,30,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Bakstage BakeHouse,Kolkata,Tier 1,"Sector 5, Salt Lake","Bakery, Desserts",2.8,21,550.0,Mid-range (300-700),False,False,False,False,False,False,True
Chilis Treat,Delhi NCR,Tier 1,Najafgarh,"North Indian, Chinese",2.9,221,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Tunn And Talli,Delhi NCR,Tier 1,Delhi University-GTB Nagar,"Fast Food, North Indian, Chinese",2.7,8,1200.0,Premium (700-1500),False,False,False,True,False,True,True
Regent Restaurant,Kolkata,Tier 1,Belghoria,"Chinese, North Indian, Mughlai",2.4,207,800.0,Premium (700-1500),False,False,False,False,False,True,True
Temptation,Mumbai,Tier 1,Ghansoli,"North Indian, Chinese, Mughlai, Seafood",2.3,73,600.0,Mid-range (300-700),False,False,False,False,False,True,True
Hindustan Bar And Restaurant,Kolkata,Tier 1,New Market Area,"North Indian, Chinese",2.9,35,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Night Queen,Kolkata,Tier 1,Bangur,"Chinese, North Indian",2.5,22,550.0,Mid-range (300-700),False,False,False,False,False,True,True
Su Swagatam,Kolkata,Tier 1,Gariahat,"Chinese, Mughlai, North Indian",2.3,89,800.0,Premium (700-1500),False,False,False,False,False,True,True
Nasha,Kolkata,Tier 1,Chinar Park,"North Indian, Chinese",2.8,18,550.0,Mid-range (300-700),False,False,False,False,False,False,True
POP Pride of Punjab,Kolkata,Tier 1,Ruby Hospital Area,"North Indian, Chinese",2.9,19,900.0,Premium (700-1500),False,False,False,False,False,False,True
Zaika,Mumbai,Tier 1,Kopar Khairane,"Chinese, North Indian, Seafood, Biryani",2.9,300,700.0,Premium (700-1500),True,False,False,False,False,False,True
The Princess,Kolkata,Tier 1,New Market Area,"North Indian, Chinese, Continental",2.5,15,800.0,Premium (700-1500),False,False,False,False,False,True,True
Palm Green,Delhi NCR,Tier 1,Narela,North Indian,2.9,7,1500.0,Luxury (1500+),False,False,False,True,False,True,True
Foodie Punjab,Delhi NCR,Tier 1,Indirapuram,"North Indian, Chinese",2.8,146,600.0,Mid-range (300-700),True,False,False,False,False,False,True
On The Rox,Kolkata,Tier 1,New Market Area,Finger Food,2.8,16,800.0,Premium (700-1500),False,False,False,False,False,False,True
Mangalore Kitchen,Mumbai,Tier 1,Tardeo,"North Indian, Mughlai, Mangalorean, Chinese, Seafood",2.8,8,800.0,Premium (700-1500),False,False,False,False,False,False,True
Sweet Revenge,Delhi NCR,Tier 1,South Delhi,"Bakery, Desserts",2.8,13,800.0,Premium (700-1500),True,False,True,False,False,False,True
Meenas,Delhi NCR,Tier 1,Janpath,North Indian,2.8,11,550.0,Mid-range (300-700),False,False,False,False,False,False,True
Santoor,Mumbai,Tier 1,Cuffe Parade,"South Indian, Fast Food",2.7,153,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Food Fataang,Mumbai,Tier 1,Borivali West,"North Indian, Lebanese, Chinese",2.3,77,600.0,Mid-range (300-700),True,False,False,False,False,True,True
Olive n spice,Mumbai,Tier 1,Wadala,"Pizza, Fast Food",2.6,59,700.0,Premium (700-1500),True,False,False,False,False,True,True
Mojo,Delhi NCR,Tier 1,DLF Phase 1,Chinese,2.9,4,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Bikaner Malai Wala,Delhi NCR,Tier 1,DLF Phase 3,"North Indian, South Indian, Chinese",2.5,47,550.0,Mid-range (300-700),False,False,False,False,False,True,True
The Gem Bar & Restaurant,Delhi NCR,Tier 1,Paharganj,"North Indian, Chinese, Continental",2.7,25,1100.0,Premium (700-1500),False,False,False,True,False,True,True
Addictive Lounge,Delhi NCR,Tier 1,Connaught Place,"North Indian, Finger Food",2.8,14,1800.0,Luxury (1500+),False,False,False,True,True,True,True
King Khan,Kolkata,Tier 1,Bow Bazar,"North Indian, Chinese, Mughlai",2.9,30,650.0,Mid-range (300-700),True,False,False,False,False,False,True
R1 Take Away,Delhi NCR,Tier 1,Karol Bagh,"North Indian, Mughlai, Chinese, Momos",2.9,173,750.0,Premium (700-1500),True,False,False,False,False,False,True
Bhukkad The Foodie's Food,Delhi NCR,Tier 1,"Sector 72, Noida","South Indian, North Indian, Chinese, Fast Food",2.9,7,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Brass Monkey,Mumbai,Tier 1,Goregaon East,"Continental, Chinese, Pizza",2.5,192,2200.0,Luxury (1500+),False,False,False,True,True,True,True
Kung Pao,Kolkata,Tier 1,Jodhpur Park,"Chinese, Thai",2.8,9,700.0,Premium (700-1500),True,False,False,False,False,False,True
New Silver Chimney,Kolkata,Tier 1,"Sector 1, Salt Lake","Chinese, North Indian",2.2,204,700.0,Premium (700-1500),True,False,False,False,False,True,True
Fortune Deli- Fortune Inn Grazia,Delhi NCR,Tier 1,Raj Nagar,"Continental, North Indian, Chinese",2.7,24,1200.0,Premium (700-1500),False,False,False,True,False,True,True
Makkhan Mar Ke,Delhi NCR,Tier 1,Vikaspuri,"North Indian, Mughlai",2.9,10,550.0,Mid-range (300-700),True,False,False,False,False,False,True
The Blaze,Delhi NCR,Tier 1,"Sector 56, Gurgaon","North Indian, Chinese",2.9,10,750.0,Premium (700-1500),False,False,False,False,False,False,True
Su - Swagat,Mumbai,Tier 1,Borivali East,"South Indian, North Indian, Chinese, Fast Food, Seafood",2.7,246,800.0,Premium (700-1500),True,False,False,False,False,False,True
Moments Bar and Lounge,Delhi NCR,Tier 1,Netaji Subhash Place,Finger Food,2.6,23,800.0,Premium (700-1500),False,False,False,False,False,True,True
Uncle's Corner,Mumbai,Tier 1,Borivali West,"North Indian, Mughlai, Chinese, Seafood, Thai",2.9,323,600.0,Mid-range (300-700),True,False,False,False,False,False,True
M/S Samrat Restaurant,Kolkata,Tier 1,Barrackpore,"Chinese, North Indian",2.7,66,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Chutneez Lounge & Bar,Delhi NCR,Tier 1,Laxmi Nagar,"North Indian, Mughlai, Chinese",2.9,6,1900.0,Luxury (1500+),False,False,False,True,True,True,True
Wonder Bites,Delhi NCR,Tier 1,Panchsheel Park,Italian,2.5,81,550.0,Mid-range (300-700),True,False,False,False,False,True,True
The Desi Tadka,Kolkata,Tier 1,"Sector 2, Salt Lake",North Indian,2.8,9,600.0,Mid-range (300-700),True,False,False,False,False,False,True
The Hunger Cure,Delhi NCR,Tier 1,"Sector 62, Noida","Fast Food, North Indian, Chinese",2.7,53,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Neptune - Fortune Inn Grazia,Delhi NCR,Tier 1,Raj Nagar,Finger Food,2.8,14,1500.0,Luxury (1500+),False,False,False,True,False,True,True
The Roxy Club,Delhi NCR,Tier 1,Rohini,"Finger Food, Bar Food",2.9,16,2200.0,Luxury (1500+),False,True,False,True,True,True,True
Tandoori Grill,Delhi NCR,Tier 1,Jail Road,North Indian,2.9,23,750.0,Premium (700-1500),False,False,False,False,False,False,True
The Pizza Pie,Delhi NCR,Tier 1,Moti Nagar,"Italian, Pizza",2.9,43,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Hop Box by Hopping Chef,Mumbai,Tier 1,Mahalaxmi,"North Indian, Asian, Italian",2.9,11,700.0,Premium (700-1500),True,False,False,False,False,False,True
Club Prison,Delhi NCR,Tier 1,"MG Road, Gurgaon",Finger Food,2.3,51,1800.0,Luxury (1500+),False,False,False,True,True,True,True
Gazebo Sizzlers,Delhi NCR,Tier 1,Jaypee Greens,Continental,2.9,7,700.0,Premium (700-1500),False,False,False,False,False,False,True
Royal Foods,Mumbai,Tier 1,Kopar Khairane,"North Indian, Chinese, Mughlai",2.9,39,700.0,Premium (700-1500),True,False,False,False,False,False,True
Roop Raaj Banquet & Restro Bar,Delhi NCR,Tier 1,NIT,"North Indian, South Indian, Finger Food",2.9,16,1200.0,Premium (700-1500),False,False,False,True,False,True,True
Food Gallery,Delhi NCR,Tier 1,Rohini,"North Indian, Fast Food, Chinese",2.7,40,550.0,Mid-range (300-700),False,False,False,False,False,False,True
Essence Of China,Mumbai,Tier 1,Kurla,Chinese,2.6,121,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Knights Chaska,Delhi NCR,Tier 1,Knowledge Park,"North Indian, Chinese",2.7,14,800.0,Premium (700-1500),False,False,False,False,False,False,True
Hotel Akash,Delhi NCR,Tier 1,NIT,"North Indian, Mughlai, Chinese",2.8,16,1100.0,Premium (700-1500),False,False,False,True,False,True,True
